|ITEM_CODE|ITEM_NAME1                                      |ITEM_NAME2                            |VENDER_CODE|VENDER_NAME                                        |ORDER_DATE             |BUYER_CODE|BUYER_NAME    |
|240030030|3M#10K08L ! 500MM X 100M NON BOI                |BASE FILM (PPA POLYESTER) NON BOI     |1000004    |3M THAILAND LTD.                                   |2015-02-05 00:00:00.000|224       |Yoshimura     |
|240030031|TACKWELL #157RSD SIZE:440MMX150 M. CLEAR COLOR  |BASE FILM(POLYESTER)                  |1006981    |SEKISUI SPECIALTY CHEMICALS THAILAND CO.,LTD       |2022-01-13 00:00:00.000|247       |Phurita.T     |
|240030032|TACKWELL #157RSD SIZE:510MMX150 M. CLEAR COLOR  |BASE FILM(POLYESTER)                  |1005283    |SEKISUI CHEMICAL (THAILAND) CO.,LTD.               |2014-06-04 00:00:00.000|222       |Piyaporn.Pr   |
|240030033|PET TETORN GE 23 MICRON SIZE:485 MM.X1,220 M.   |BASE FILM(POLYESTER)                  |1005226    |BRENNTAG INGREDIENTS (THAILAND) PUBLIC CO., LTD    |2022-09-14 00:00:00.000|247       |Phurita.T     |
|240030034|ST-85M SIZE:250MMX200M (PPA)                    |BASE FILM (PPA POLYESTER FILM)        |1004099    |CIRCUIT MATERIALS INC.                             |2015-05-20 00:00:00.000|224       |Yoshimura     |
|240030035|PET25-Y210(20)P30 SIZE 490MMX250M/RL            |BASE FILM (PPA POLYESTER  FILM )      |1005962    |NICHIEI (THAILAND) CO.,LTD                         |2020-08-17 00:00:00.000|241       |Wandee        |
|240030036|PET FILM 0.23 UM SIZE:490 MM.X1,220 M.          |BASE FILM(POLYESTER) (1 RL/597.8 M2)  |1005671    |POWER HEAT SEAL COATING CO.,LTD                    |2018-03-21 00:00:00.000|222       |Piyaporn.Pr   |
|240030037|TAPE DST POLYESTER ST-852BHT SIZE:15MMX50M.     |TAPE                                  |1004099    |CIRCUIT MATERIALS INC.                             |2023-02-15 00:00:00.000|222       |Piyaporn.Pr   |
|240030038|PET FILM 23 UM SIZE:250 MM.X1,020 M.            |BASE FILM(POLYESTER)                  |1007324    |POLYESTER FILM AND LAMINATE CO.,LTD                |2024-02-08 00:00:00.000|244       |Natthakritta.O|
|240030040|ST-852BHT(12MMX50M)/RL                          |TAPE                                  |1004099    |CIRCUIT MATERIALS INC.                             |2023-02-15 00:00:00.000|222       |Piyaporn.Pr   |
|240030041|ST-850G (10MMX50M)                              |TAPE                                  |1004099    |CIRCUIT MATERIALS INC.                             |2016-03-17 00:00:00.000|224       |Yoshimura     |
|240030042|PET 0.075MM!242MMX500M/RL                       |BASE FILM (POLYESTER)                 |1005226    |BRENNTAG INGREDIENTS (THAILAND) PUBLIC CO., LTD    |2023-10-03 00:00:00.000|244       |Natthakritta.O|
|240030043|PET 0.075MM!252MMX500M/RL                       |BASE FILM (POLYESTER)                 |1005226    |BRENNTAG INGREDIENTS (THAILAND) PUBLIC CO., LTD    |2020-08-10 00:00:00.000|247       |Phurita.T     |
|240030044|SUNMAP LC-T SIZE : 0.1MMX300MMX10M              |CUSHION                               |1005864    |NITTO MATEX (THAILAND) CO.,LTD.                    |2016-05-12 00:00:00.000|224       |Yoshimura     |
|240030045|PET0.075MM SIZE260MMX500M/RL                    |BASE FILM ( POLYESTER )               |1005226    |BRENNTAG INGREDIENTS (THAILAND) PUBLIC CO., LTD    |2023-08-17 00:00:00.000|244       |Natthakritta.O|
|240030047|PET 0.075MM SIZE: 500MM X 500M/RL               |BASE FILM ( POLYESTER )               |1006573    |TORAY INTERNATIONAL TRADING(THAILAND)CO.,LTD.      |2024-02-09 00:00:00.000|244       |Natthakritta.O|
|240030048|PET 0.075MM SIZE: 250MM X 500M/RL(TORAY)        |BASE FILM ( POLYESTER )               |1006573    |TORAY INTERNATIONAL TRADING(THAILAND)CO.,LTD.      |2023-08-02 00:00:00.000|244       |Natthakritta.O|
|240030049|PET0.075MM SIZE:260 MMX500 M/RL                 |BASE FILM ( POLYESTER )               |1006573    |TORAY INTERNATIONAL TRADING(THAILAND)CO.,LTD.      |2024-02-09 00:00:00.000|244       |Natthakritta.O|
|240030051|PET 0.075MM ! 490MMX500M/RL                     |BASE FILM (POLYESTER FILM)            |1006573    |TORAY INTERNATIONAL TRADING(THAILAND)CO.,LTD.      |2024-02-09 00:00:00.000|244       |Natthakritta.O|
|240030052|PET 0.075MM!245MMX500M/RL                       |BASE FILM (POLYESTER FILM)            |1006573    |TORAY INTERNATIONAL TRADING(THAILAND)CO.,LTD.      |2023-09-26 00:00:00.000|244       |Natthakritta.O|
|240030053|PET 0.075MM ! 255MMX500M/RL                     | BASE FILM (POLYESTER FILM)           |1006573    |TORAY INTERNATIONAL TRADING(THAILAND)CO.,LTD.      |2024-01-09 00:00:00.000|244       |Natthakritta.O|
|240030054|PET 0.075MM!252MMX500M/RL                       | BASE FILM (POLYESTER FILM)           |1006573    |TORAY INTERNATIONAL TRADING(THAILAND)CO.,LTD.      |2024-02-09 00:00:00.000|244       |Natthakritta.O|
|240030055|PET0.075MM!520X500M/RL                          |BASE FILM (POLYESTER FILM)            |1006573    |TORAY INTERNATIONAL TRADING(THAILAND)CO.,LTD.      |2023-12-02 00:00:00.000|244       |Natthakritta.O|
|240030058|SC-27707FC(250MMX25M)                           |BASE FILM (POLYESTER FILM)            |0999002    |FUJIKURA LTD.                                      |2017-09-15 00:00:00.000|224       |Yoshimura     |
|240030059|SC-B27407FC(250MMX200M)/RL                      |BASE FILM (POLYESTER FILM)            |1001598    |SANKI SANGYO CO.,LTD.                              |2022-05-04 00:00:00.000|229       |Chanthri      |
|240030060|PET FILM 0.23 UM SIZE:240 MM.X1,220 M           |BASE FILM(POLYSTER)                   |1005671    |POWER HEAT SEAL COATING CO.,LTD                    |2018-08-27 00:00:00.000|222       |Piyaporn.Pr   |
